(8:1.8374,((1:0.7877,6:0.8595):0.6610,(2:0.5855,(4:1.3859,7:1.1496):0.9233):1.0656):1.0167,(3:0.8454,5:0.8711):1.0112);
(4:0.6516,(3:0.9331,(8:0.9147,(1:1.4976,7:1.3014):0.7712):0.8392):0.8574,(5:0.6681,(2:0.7174,6:0.9280):1.5983):1.3220);
((2:0.5761,(1:1.3295,(3:0.9559,5:0.8569):1.0335):1.0518):1.1824,(6:0.6766,7:0.6142):1.1209,(4:0.8091,8:0.5605):2.2327);
(4:1.4091,(7:0.6861,(3:0.7921,5:0.7472):1.2707):0.8861,(8:0.8845,(1:1.0947,(2:0.8313,6:0.9257):0.7444):1.2865):1.4416);
(4:0.7481,(5:1.6166,(3:0.6360,6:1.4968):1.9707):0.6750,(7:0.8671,(8:1.0412,(1:1.0223,2:0.7937):0.7991):0.7325):0.6009);
((6:1.5090,(8:0.8672,(1:0.5722,3:1.4814):1.2903):1.0793):0.5757,(2:0.8104,4:0.6420):0.8634,(5:0.9032,7:1.3141):1.0919);
(4:1.6773,((7:0.7938,(1:0.6848,8:0.7448):0.9362):0.6818,(3:2.2886,5:0.6854):0.8088):0.9505,(2:0.7930,6:0.6433):1.3118);
(8:1.7373,(1:0.7553,(2:0.8055,(4:1.8959,7:0.5364):0.7350):0.9335):1.0115,(3:1.0384,(5:0.6240,6:1.0891):0.9484):0.8897);
(5:0.8242,((1:1.3513,3:1.1675):1.2180,(2:0.6770,4:0.9795):1.0056):0.9241,(6:0.8028,(7:0.9170,8:0.6281):1.0591):1.4458);
(3:0.7513,((1:0.8712,7:1.0978):0.8195,(4:0.7096,5:0.7124):1.2723):1.0141,(8:0.7434,(2:2.1408,6:1.1408):0.8034):0.9233);
(2:1.4929,(7:0.7583,(4:0.6276,6:1.0294):1.0315):2.1624,(8:0.7211,(1:1.2115,(3:0.8773,5:0.7603):0.7346):0.8284):0.7647);
(8:0.6117,((1:0.5704,3:1.8075):1.7587,(2:0.5602,5:0.7128):0.7240):1.3365,(7:1.2602,(4:0.8459,6:1.0186):0.6752):1.1182);
((2:0.8743,(1:0.8604,(4:0.8172,8:1.4623):0.6606):0.7464):1.1915,(3:0.7093,7:1.6544):1.8039,(5:1.0019,6:0.6209):0.5969);
(7:1.3309,(3:0.6237,(4:0.7040,(1:0.9791,8:0.7722):1.0283):1.3736):1.0701,(2:0.8041,(5:1.1521,6:0.9364):1.6133):0.6122);
(3:0.5098,(4:1.7813,(2:0.5454,6:1.6788):0.6947):1.4596,(8:0.5392,(7:0.6141,(1:0.7785,5:1.0203):1.0443):0.6811):1.6528);
(4:1.8561,(6:0.7611,(1:0.7872,(3:0.8693,7:1.4103):0.7494):1.2138):0.6783,(8:0.7261,(2:0.9254,5:1.2523):1.0820):0.6889);
(6:1.5741,((4:0.8308,7:0.7266):1.3788,(1:0.7895,(5:0.7712,8:0.9508):1.3331):0.7184):0.6077,(2:0.6510,3:1.9933):0.6748);
((6:0.8846,(7:0.8795,(1:0.8279,3:1.3925):0.8146):1.2074):1.5463,(2:0.9021,4:0.6137):0.5605,(5:0.6272,8:1.9050):0.8386);
((7:0.8372,(4:0.5554,5:0.8194):1.6582):0.8926,(2:0.8499,6:1.4745):0.6802,(1:1.2670,(3:0.7726,8:0.7862):1.5259):0.8809);
(4:0.7018,(1:1.3993,(5:0.6463,(3:1.4842,7:0.6942):2.4911):0.6470):1.0126,(6:0.7951,(2:0.6511,8:0.6834):1.1263):0.6674);
(6:0.8768,((1:0.4936,7:0.9575):1.4404,(2:0.6574,3:0.7793):0.5049):0.5451,(8:1.4338,(4:1.4576,5:0.6698):1.7627):1.4211);
(6:2.1076,(7:1.0177,(2:0.7391,(1:1.8157,4:0.9419):1.1529):0.7054):0.8297,(8:0.6729,(3:0.8410,5:0.7926):0.6817):0.7017);
(8:0.7685,(2:1.2015,(5:0.6339,(1:0.8152,4:1.3585):0.6134):0.8247):0.8140,(6:0.7302,(3:0.6758,7:1.7321):1.9707):0.8614);
(8:0.7934,(6:1.5441,(3:1.2367,(1:1.6878,2:0.7795):0.6625):0.6775):1.4765,(4:0.6625,(5:0.7282,7:0.6562):1.3444):0.7506);
(6:1.4905,((1:1.5489,5:0.8050):1.0780,(3:0.7170,4:1.1345):0.7506):0.6598,(8:1.2431,(2:0.9973,7:0.7344):0.9841):0.8568);
(5:1.2384,(2:0.9727,(1:0.6670,(4:0.7562,7:1.7453):0.6864):1.1004):0.6988,(3:1.3510,(6:1.3177,8:1.0427):0.8188):0.6045);
(8:0.6900,((1:0.6402,5:0.9488):1.2605,(6:0.7424,(3:1.3329,4:1.3137):0.7504):1.2297):1.2860,(2:0.7127,7:0.9858):1.1068);
(5:0.9307,((2:0.5740,4:1.3667):0.5551,(1:0.6811,(3:0.7156,8:2.2982):1.3904):0.8581):1.3880,(6:0.6698,7:0.6834):0.8887);
(8:0.7746,((1:1.2951,4:0.9023):1.1588,(3:1.7973,6:0.6815):0.8875):0.8274,(2:0.8298,(5:1.0133,7:1.0235):1.0014):0.8074);
(8:1.4338,(2:1.2482,(5:1.1437,(1:0.8687,4:1.8246):0.7509):0.8603):0.8157,(3:0.8084,(6:0.7621,7:1.1365):0.6695):0.6775);
(2:0.9309,((4:1.1774,7:1.3223):0.7816,(1:0.7236,8:0.7732):0.6804):1.1507,(6:0.6599,(3:1.0686,5:1.3132):0.7752):1.6429);
(3:0.7145,(5:0.8595,(1:0.8580,(6:0.7563,7:0.8539):0.8525):1.3798):0.7665,(4:0.9932,(2:0.9248,8:1.1226):1.3915):1.5269);
(4:1.1910,(1:1.0231,(6:0.9518,(2:1.5883,5:1.2347):0.8873):1.6442):0.5268,(8:0.5403,(3:0.6275,7:1.1503):0.7321):0.9024);
(2:0.8921,((1:0.9009,3:1.1833):0.7281,(4:0.8055,(5:0.6214,6:1.3995):1.3606):1.3031):1.6003,(7:0.6390,8:0.9590):0.6071);
((1:0.8466,(5:0.5293,(3:0.6075,6:0.5268):0.5683):0.5307):1.3298,(2:1.0380,7:0.6188):1.9879,(4:0.8897,8:2.5547):0.9719);
((6:0.9086,(5:0.6952,(1:1.0281,2:0.6079):0.7256):0.8211):1.6468,(4:0.5891,7:0.8416):0.5959,(3:0.9948,8:1.4788):2.0665);
(7:0.6211,(3:0.7682,(6:0.6345,(1:0.6221,4:0.8519):1.0285):1.7974):0.6820,(2:0.6099,(5:1.3636,8:0.8191):1.5799):1.6217);
(6:1.2215,(3:1.5636,(2:0.5706,4:0.7596):0.6063):0.7758,((1:1.9969,5:0.6188):0.6583,(7:0.9286,8:1.8609):0.8007):0.6382);
(7:0.7842,((1:0.8827,3:0.6171):0.6289,(5:0.7807,6:0.6165):1.8098):2.2686,(2:0.7161,(4:0.8482,8:0.9727):1.2218):0.8526);
(7:1.2011,((3:0.7968,4:0.8194):1.2519,(8:1.0816,(1:0.6859,5:0.8118):1.1900):1.0606):0.7073,(2:0.7809,6:1.4211):1.1916);
(3:0.6122,((1:1.1394,4:0.7013):0.5776,(7:1.1095,(5:1.8359,6:1.7675):1.2703):0.7854):0.9130,(2:0.6091,8:0.9748):0.7040);
(5:0.6807,(7:0.7223,(6:2.0088,(1:0.7673,2:1.5881):1.0633):0.7907):0.8903,(8:0.7388,(3:0.6367,4:1.7378):0.6932):0.6819);
(6:0.7608,(3:1.1498,(8:0.7636,(1:1.0273,4:0.8576):0.7989):0.8026):0.8090,(5:1.2948,(2:1.3541,7:1.4132):0.8284):1.1399);
(7:0.5389,(2:1.0625,(8:0.9436,(1:0.7181,5:0.7375):0.7144):0.7746):0.8396,(6:1.7335,(3:0.5218,4:0.9584):1.0278):2.4291);
((7:2.3436,(5:0.6181,6:0.6649):0.8162):1.0120,(2:1.8359,3:0.5960):0.8064,(8:1.1506,(1:0.7570,4:1.0609):0.6795):0.6589);
(2:1.5887,(7:0.6611,(4:0.9604,5:0.7633):0.6113):1.9094,(8:0.9799,(6:0.9490,(1:1.3101,3:1.0040):0.7743):0.8249):0.6637);
(4:1.1903,(3:1.8173,(2:1.7737,5:0.6449):0.7992):0.6445,(8:0.8933,(1:0.6138,(6:0.6374,7:0.8028):1.1574):0.7480):1.2773);
(7:0.5661,(6:1.2462,(1:0.6418,(4:0.5550,8:2.7377):0.5392):1.1017):1.6729,(5:0.8632,(2:0.5879,3:1.1095):0.5807):0.7980);
(8:0.5595,((1:0.6368,7:1.2437):0.8634,(3:2.2211,(4:2.2673,6:0.8911):1.1448):0.5660):0.5201,(2:0.6077,5:0.7095):0.7690);
(((1:0.6755,2:1.2715):0.7188,(3:0.7066,5:1.1680):0.8289):2.4792,(4:0.4836,7:0.5456):1.8744,(6:0.5784,8:1.0221):0.6472);
(3:0.6974,((2:0.6962,(1:1.3590,4:1.1302):1.0402):0.7585,(5:1.0386,6:0.9889):1.4421):0.6988,(7:0.7928,8:1.1718):1.1854);
(4:1.3738,(3:0.9317,(6:0.7147,(1:1.0366,5:1.7411):1.1591):0.9441):0.8881,(7:0.8773,(2:0.9227,8:0.8181):0.8129):0.7796);
((5:0.6694,(1:0.5676,(7:0.6285,8:0.8041):1.8515):0.6753):1.1732,(2:1.5769,3:0.6836):0.9325,(4:0.7851,6:1.3588):1.2936);
((5:0.6613,(1:1.1335,4:1.2125):0.5874):1.1267,(3:1.5238,(2:0.5729,7:0.9879):1.0620):0.5601,(6:1.2898,8:1.5006):0.7815);
(5:1.0617,((2:1.1292,(1:0.6588,8:0.7638):1.1780):2.3511,(3:0.8953,7:0.5940):0.8336):0.8923,(4:0.8308,6:1.2008):0.6106);
(5:1.2221,((1:0.8813,4:1.6348):0.8484,(2:1.0966,(6:1.1869,7:0.6753):0.9031):0.6374):1.6848,(3:0.7793,8:0.7711):0.6788);
(8:0.9047,(4:0.5953,(1:3.0028,(5:1.0987,7:0.7380):1.1300):0.7012):0.5944,(3:0.5802,(2:1.1960,6:0.9461):0.8297):0.6828);
(3:0.7029,(2:2.0051,(6:0.6497,7:1.0847):0.8828):0.9526,((1:0.9370,5:0.6981):1.3328,(4:0.9709,8:0.8218):1.0222):0.9392);
(((2:0.9746,5:1.0563):1.0175,(1:1.0453,8:0.6530):1.0873):1.4993,(3:0.7130,7:1.5954):1.1149,(4:0.7463,6:0.6221):0.8750);
(3:1.4846,(6:1.5180,(4:0.6978,(1:0.7046,5:0.8347):1.3916):0.7051):0.8887,(2:0.9350,(7:0.8397,8:0.9487):1.1353):0.9161);
(2:0.5067,(4:1.0991,(6:1.0539,(1:1.1501,7:2.2718):1.2749):0.5461):1.4940,(8:0.6506,(3:0.6407,5:1.2021):0.5617):0.5482);
(8:0.7609,(1:0.7654,(2:0.9631,(3:1.4006,7:1.1371):1.1439):1.0040):0.8724,(5:0.8693,(4:0.6193,6:1.1810):1.1796):1.1034);
(6:0.6999,(4:1.5009,(8:0.7338,(1:0.5638,3:0.6261):0.8689):2.4826):0.8304,(7:0.8588,(2:1.0819,5:0.5385):1.7566):0.4577);
(5:0.9492,((1:1.0238,(3:1.3734,4:1.4295):0.6145):0.8087,(2:1.3642,6:0.6298):0.7468):1.5245,(7:0.6378,8:1.1728):0.7250);
(6:0.6368,(7:0.7123,(5:0.8861,(1:1.6933,8:1.7458):0.7010):0.7074):0.6270,(4:0.6356,(2:0.9456,3:0.8127):0.7452):2.1513);
(4:1.1363,(7:0.5780,(1:0.9416,(3:1.1555,6:0.9555):0.6968):1.7008):0.5862,(8:0.6420,(2:0.9021,5:1.6953):0.7729):1.2371);
(8:0.9098,(4:0.7071,(1:0.6603,(5:0.9561,6:1.1622):1.5178):1.4011):0.6738,(7:0.7050,(2:1.8251,3:0.7161):0.7187):1.0468);
(5:0.6482,(7:0.6608,(4:0.7211,6:1.2585):0.6727):0.6318,(8:2.7986,(2:0.8196,(1:0.8127,3:0.9395):1.1277):0.8019):1.1070);
((7:2.4029,(1:0.7871,6:0.5672):0.5434):1.1423,(5:0.9096,(3:1.1375,4:1.0761):1.5671):1.0998,(2:0.6391,8:0.5534):0.5747);
(7:0.7774,((1:0.7350,5:1.6283):0.7115,(3:1.5563,(4:0.8747,6:1.0521):0.6688):0.6197):0.6739,(2:1.7341,8:1.1730):0.7953);
(2:1.6909,((1:0.8579,5:1.3106):0.7694,(6:0.8877,(4:0.7251,7:0.6473):0.7795):0.7728):0.8924,(3:1.2789,8:1.6724):0.7149);
(6:0.7067,(4:0.9559,(5:0.7955,7:0.7702):1.4821):0.8309,(8:0.7226,(2:1.0315,(1:1.0694,3:1.1128):0.8243):1.6501):1.0481);
(2:0.6265,((5:0.9303,(1:1.1321,8:0.7819):0.6540):1.9153,(3:0.5663,4:0.6065):1.3926):1.1888,(6:1.0299,7:1.3919):0.7838);
((3:1.0484,(1:0.6908,7:1.4247):0.8885):0.8249,(5:0.7376,(4:0.5925,6:0.6955):0.7293):1.3984,(2:1.1186,8:1.1958):1.6551);
(6:0.6834,(3:0.6935,(2:0.6260,5:0.9212):0.7081):0.9541,(8:1.4827,(1:1.1220,(4:2.0380,7:1.5031):0.6221):0.8029):0.8428);
(8:1.5537,(1:0.8468,(7:0.7799,(2:1.1033,5:0.7998):0.8761):0.6912):2.2566,(4:0.7589,(3:0.7252,6:0.8430):0.6994):1.0661);
(8:1.4846,(1:0.8411,(3:1.4653,(6:0.7691,7:1.1162):0.9255):1.1827):1.1704,(2:0.9369,(4:0.6279,5:1.1417):0.5158):0.8228);
(2:0.5803,(3:0.6015,(5:1.0391,6:1.5792):1.1190):1.2510,(1:1.6658,(4:0.9263,(7:0.7240,8:1.0600):0.6247):0.7731):1.0558);
(5:0.5845,((3:0.9388,4:1.1085):1.0655,(1:1.3620,(6:0.7503,8:0.6569):0.5923):0.8663):0.9343,(2:1.4411,7:0.8913):1.8082);
(3:0.6387,(4:1.2658,(5:1.0589,7:0.7754):0.8260):0.5935,((1:1.0650,2:0.6386):1.6454,(6:0.7088,8:1.6707):1.3436):0.7694);
(8:0.6217,((1:0.7746,2:0.9254):0.8240,(4:0.7122,7:1.0141):1.3216):1.4549,(3:1.5427,(5:1.4355,6:0.5621):0.9418):0.8694);
((5:0.8578,(8:1.6883,(1:1.1549,2:1.6102):0.9702):0.7364):1.0109,(4:0.9321,6:1.0204):0.6823,(3:0.8300,7:0.7586):0.7480);
(8:1.3646,(1:0.8369,(4:0.4685,(3:1.9946,6:0.9107):0.4720):0.7077):1.0234,(7:1.3044,(2:0.4940,5:1.3951):1.1074):0.9208);
(3:0.6964,(2:0.5813,(5:1.6026,6:0.7741):0.9557):1.5917,((1:0.6878,7:0.8223):0.6759,(4:1.6070,8:0.9387):0.5745):1.4920);
(6:0.5589,((2:0.5941,7:1.1967):0.6936,(1:0.5981,8:1.2345):1.3756):1.1283,(5:1.1258,(3:1.0808,4:2.0028):0.7387):0.6722);
((5:0.6576,(1:0.5988,(6:0.7007,7:1.2638):1.1264):0.8938):1.6307,(2:1.1080,3:0.6178):0.6767,(4:1.9848,8:1.1281):0.6128);
(8:0.8194,(1:0.9294,(5:0.5801,(2:1.4889,7:0.8583):0.7054):1.4926):0.8318,(3:0.8010,(4:0.9324,6:1.1406):1.0577):1.3625);
(4:0.5763,((6:2.2354,(1:0.5108,2:0.4671):0.8485):0.7395,(3:1.2334,7:1.2000):1.4588):0.7851,(5:1.2996,8:0.5747):1.0709);
(2:0.8763,(7:1.0939,(1:1.4818,(4:0.7136,5:1.1657):0.6608):0.6862):0.9268,(6:1.1318,(3:1.3573,8:1.2402):0.9679):0.6976);
((5:0.9873,(3:0.7068,(1:0.7267,4:0.9556):1.7116):0.6427):0.6009,(2:1.0358,6:1.4060):1.3630,(7:0.9310,8:1.0302):0.9024);
(3:0.9248,(1:1.4797,(6:0.9469,(5:1.0647,7:0.7648):0.5886):1.3474):1.4045,(2:0.6872,(4:0.6278,8:1.8151):0.7367):0.6118);
(2:1.3723,(4:0.9992,(3:1.5656,6:1.0966):1.1185):0.7592,(1:0.8026,(8:1.1429,(5:0.6759,7:1.2541):0.5117):0.6532):1.0483);
(2:1.0292,((1:0.9712,6:0.8964):0.8481,(5:0.5150,7:0.9911):1.8856):1.0726,(8:0.5458,(3:0.5193,4:2.2698):0.6712):0.7846);
((3:1.3814,(1:1.1062,6:1.0945):0.7512):0.6819,(5:1.0508,(2:0.7228,7:0.6883):1.0757):0.9249,(4:1.8874,8:0.7044):0.9304);
(6:0.6603,(4:0.7545,(2:1.3137,7:0.6969):1.3092):0.7788,(8:0.6775,(5:0.7420,(1:0.9890,3:0.6912):1.5430):1.3430):1.5009);
((4:0.7046,6:0.5989):1.0645,(2:0.8284,3:2.3093):0.7543,(8:0.6812,(1:0.6853,(5:0.7113,7:0.9027):0.7172):0.7107):2.3317);
(3:0.9606,((2:0.5322,6:1.1374):1.5127,(1:1.1848,(7:0.8892,8:0.5262):0.9832):1.1438):1.0334,(4:0.8862,5:0.9053):1.3049);
(5:0.8035,((3:0.9421,(1:0.9730,4:0.6837):1.1236):1.2106,(2:0.8710,6:0.7210):1.3714):1.0437,(7:0.6361,8:0.8935):1.7267);
(7:0.8658,(4:0.6207,(5:1.1267,(1:0.6237,6:0.7364):1.2718):0.7139):1.0677,(8:1.8848,(2:0.6813,3:0.6490):1.8479):0.9103);
(3:1.0943,(2:0.7012,(7:0.7182,(1:0.9178,4:0.9948):0.6232):0.7420):0.9752,(6:2.0322,(5:0.6369,8:0.9111):1.9173):0.7359);
(6:0.6524,((2:1.4050,(1:1.3231,7:0.6599):1.1793):0.8774,(3:0.7451,5:2.0255):0.7894):0.7293,(4:0.7680,8:1.1255):0.7201);
(8:0.8752,(4:0.6315,(3:1.0954,(1:1.1896,2:0.5889):1.6379):0.9407):0.9788,(7:0.6489,(5:0.6722,6:0.9063):1.2679):1.5666);
(3:0.8389,(6:1.0416,(1:0.7525,(2:1.1840,8:1.2346):1.4884):0.6006):1.2433,(4:0.5477,(5:1.0926,7:0.5829):0.6383):1.7545);
((7:1.0441,(1:1.2666,(5:2.1289,6:0.7725):0.7619):1.0464):0.9621,(3:1.3726,4:0.5731):0.5658,(2:0.6354,8:0.9849):0.8858);
(4:1.3461,(5:0.6980,(6:1.3463,7:0.9464):0.9672):1.2711,((1:1.2169,2:1.1743):0.7807,(3:0.6144,8:0.5981):1.2883):0.7523);
(6:1.2083,(3:0.6608,(2:0.6939,7:0.8203):0.7949):0.9198,(1:1.4881,(8:1.2526,(4:0.6655,5:1.1356):0.9854):0.7098):1.6649);
(7:0.9588,(5:1.0741,(3:0.9473,6:1.4204):1.0332):0.8073,((1:0.6062,4:1.0505):0.6050,(2:0.6879,8:2.0527):0.6707):1.0859);
((1:0.6469,(6:0.9600,7:0.9966):1.3824):0.9511,(4:1.1017,(2:0.7617,5:1.9380):0.9452):1.3340,(3:0.6498,8:0.6420):0.6906);
((3:0.8313,5:0.6782):1.0037,(2:1.1545,6:0.7245):0.9572,(7:0.9026,(1:0.8238,(4:0.8866,8:1.0643):1.2179):1.4116):1.3438);
(7:1.2259,(2:0.8214,(3:1.3023,(1:0.7625,4:1.2594):1.3084):0.9123):1.3621,(8:0.9491,(5:0.7262,6:0.8165):0.7170):0.8369);
(3:0.8280,(7:0.8001,(8:1.1035,(1:1.0187,4:0.7024):1.3824):0.8994):0.5513,(5:0.6306,(2:1.5566,6:0.7528):1.1167):1.6576);
((1:0.8214,(4:1.1547,(2:0.6755,5:1.0201):1.9160):0.9181):0.8644,(3:0.6756,6:0.8211):1.3339,(7:0.9914,8:1.1248):0.6830);
(4:0.7869,(5:0.5481,(1:1.5707,(2:0.5804,6:0.9452):0.8523):1.3480):0.8516,(3:1.1976,(7:0.5686,8:0.5971):0.9837):2.1697);
(8:0.7183,(1:0.5653,(5:0.7163,(6:0.6663,7:1.5757):1.1167):1.2882):1.1531,(2:2.3619,(3:0.5944,4:1.0688):0.6272):0.5479);
(2:0.5029,((3:1.1584,(1:1.3623,7:0.5256):0.6327):1.6485,(5:0.7820,6:0.7887):0.9804):1.1106,(4:1.0152,8:1.7702):0.7224);
(5:0.3839,((1:0.6826,(4:1.5554,7:0.3894):0.7862):0.6546,(3:1.2055,6:0.7353):0.5058):0.9231,(2:2.7163,8:1.3553):1.1067);
((2:0.8510,(6:0.6811,(1:0.8175,7:1.0494):1.7649):0.9842):0.9358,(3:0.8559,5:0.9833):1.2119,(4:0.8981,8:1.2437):0.7233);
(7:0.9899,(4:0.8509,(5:1.3788,(1:1.5852,3:1.0078):0.6917):0.7519):0.7169,(2:1.4905,(6:0.6738,8:0.7768):0.6697):1.4161);
(3:0.7788,((1:0.9922,6:0.5988):0.8803,(4:1.6162,7:0.8397):2.5721):0.6327,(5:0.8408,(2:0.6886,8:1.2848):0.7059):0.5691);
(8:1.2978,(4:1.8076,(2:0.6839,(1:2.0878,3:0.7128):0.6324):1.1597):0.5547,(7:0.9131,(5:0.8459,6:0.7683):0.7470):0.7890);
(4:1.0993,(2:1.0881,(6:1.5237,7:1.1726):0.9756):1.0308,((1:0.5577,5:0.9151):0.5377,(3:0.7724,8:1.0339):1.3166):0.9764);
((1:0.7984,(5:0.7917,7:1.8044):0.7415):1.2502,(3:0.7929,(2:0.7938,6:0.8379):0.8469):1.0958,(4:0.6718,8:0.7054):1.8692);
(8:0.7431,((1:1.6411,(4:0.8281,5:0.6809):0.6477):0.7879,(6:0.7737,7:0.8069):0.5860):0.7862,(2:3.5196,3:0.5950):0.6038);
(4:1.9310,(2:0.7753,(5:1.6513,6:0.6997):0.6726):0.7305,(8:0.9942,(7:1.2513,(1:0.6099,3:0.6179):0.5720):1.1156):1.3787);
(8:0.5875,(7:1.1019,(4:0.6210,(1:0.7102,5:1.6804):0.6689):0.7293):0.7693,(3:0.8929,(2:0.7478,6:0.7089):1.8140):1.9678);
(2:0.8503,(6:1.0540,(1:1.9425,(3:1.1402,4:0.8291):0.8410):1.0232):1.1019,(5:0.7574,(7:1.0413,8:0.7975):0.8109):0.8106);
((2:0.6205,(1:1.1065,5:0.6974):0.6577):0.5870,(3:0.7282,(4:2.7722,7:0.6438):0.7425):0.6703,(6:1.0237,8:0.7473):2.0027);
(8:0.7589,(6:0.8302,(5:1.1251,(1:0.5535,2:0.6142):0.5560):1.8147):1.4557,(3:1.6206,(4:0.8958,7:1.1310):0.9835):0.6608);
(4:0.7684,(2:1.4578,(7:1.0220,(1:0.9193,5:0.7582):0.7244):0.9820):0.9788,(6:1.3600,(3:0.6300,8:1.3805):1.0008):1.0178);
(8:0.6281,(6:0.6634,(4:0.6666,(1:0.9603,5:1.9267):0.8394):1.7156):0.7650,(2:1.7448,(3:0.6116,7:0.7523):0.7212):1.0052);
(5:1.0526,(1:0.9804,(3:0.6196,(2:0.6374,7:0.7151):0.7785):0.6275):0.9367,(6:0.8184,(4:1.6864,8:2.3581):1.0599):0.7293);
(6:1.0827,(2:0.7191,(3:1.4852,4:1.9187):0.8544):0.6582,(8:0.6268,(5:0.5580,(1:0.7257,7:1.1955):0.5850):1.4402):1.1505);
((2:0.6941,4:0.6266):0.6819,(3:0.9121,5:1.3397):0.8444,(8:0.6291,(1:1.0578,(6:0.9720,7:0.7506):1.7725):1.5069):1.2123);
(8:0.8288,(1:1.3557,(6:0.7468,(2:0.7172,5:0.8505):0.8008):1.1261):0.8481,(3:1.5658,(4:1.2527,7:0.6683):0.8778):1.3614);
(4:0.6875,((5:0.9578,(1:0.6217,8:1.5293):0.6396):1.7036,(2:0.6549,3:1.2347):1.0526):1.0543,(6:1.2406,7:0.9367):0.6867);
(6:0.8864,(5:0.5755,(1:0.5085,(2:0.7098,7:2.1649):2.1954):1.2155):0.8327,(3:0.6278,(4:0.9424,8:0.5753):0.6299):1.1360);
(4:0.7984,(5:0.7321,(3:1.6447,(1:0.8154,8:1.1768):0.8820):1.1341):1.5845,(6:0.6856,(2:0.6961,7:1.1276):0.8134):0.9093);
(4:1.1566,((1:0.8554,(3:1.6018,6:0.5911):0.5473):0.5028,(2:0.7594,7:1.1535):0.5264):1.1635,(5:0.7713,8:1.7049):1.6658);
(8:1.6250,((1:1.1710,7:0.8591):0.6589,(4:0.7966,(5:0.6560,6:0.6837):0.5790):0.9267):2.5890,(2:0.6591,3:1.1158):0.6799);
((1:0.7539,(2:0.8646,4:0.9962):1.3861):1.5314,(7:1.3324,(3:0.9749,5:0.7233):0.7555):0.7868,(6:1.1379,8:0.7744):0.9825);
(8:0.9438,((1:0.7907,(2:0.8836,4:1.7403):0.8791):0.9949,(3:0.7277,5:1.1866):1.0914):0.8771,(6:0.6981,7:1.0373):1.1495);
(5:1.3522,(7:1.3310,(2:1.0753,(1:0.6682,6:0.6589):1.0667):0.7724):0.5660,(3:0.6768,(4:1.3692,8:0.9429):0.6175):1.9027);
((3:1.0108,(4:0.5876,(1:2.3649,5:0.5296):0.6041):1.0848):1.1171,(2:0.6828,7:0.9788):0.8787,(6:1.6011,8:0.9229):0.6368);
(6:1.0784,(1:0.6373,(2:0.9065,(3:0.7184,5:1.4648):1.8527):0.7786):1.1727,(4:0.6918,(7:1.0429,8:0.8479):0.7505):1.0575);
(8:0.9072,(6:1.0083,(7:0.8579,(1:0.6703,2:2.1522):1.6897):1.0895):0.5323,(5:1.0463,(3:1.1806,4:0.7873):0.5241):0.5543);
(3:0.9586,(4:1.0185,(2:1.0593,7:1.0604):0.9327):1.5652,(1:0.7146,(5:1.6058,(6:0.6817,8:1.0857):0.6917):0.7645):0.8613);
((6:0.6461,(1:1.1983,3:0.7592):0.8646):0.6503,(5:1.0843,(2:1.9908,7:0.6625):1.8497):1.2378,(4:0.6224,8:0.6588):0.7751);
(7:0.5412,(1:2.0640,(4:0.7450,(2:0.6820,6:1.4613):1.3418):0.5332):0.9421,(5:1.1892,(3:0.9133,8:0.9609):0.9929):0.6331);
(3:1.3672,((6:0.5492,(2:0.5188,5:1.2478):0.5070):1.9800,(1:0.6706,8:1.3162):0.5231):0.5113,(4:0.7171,7:0.7891):2.3026);
((3:1.7670,(4:1.0348,(1:0.7816,2:0.9482):0.7704):0.7124):1.0355,(5:1.1999,7:0.6635):1.8790,(6:0.7794,8:0.6067):0.8215);
(5:1.1042,(7:0.6460,(8:0.5453,(1:0.9632,3:0.5662):0.9176):0.7135):1.5465,(4:2.0049,(2:1.1114,6:1.1461):0.7836):0.9515);
(7:0.7840,(3:1.4859,(4:0.8477,(1:1.0879,8:0.8022):0.9994):0.6340):1.1065,(6:1.3229,(2:0.9627,5:0.9260):0.5883):1.4524);
(4:0.5952,(7:0.5644,(6:0.8670,(1:2.7363,2:0.7616):0.4736):1.1165):1.0099,(5:1.5608,(3:1.0512,8:1.0441):0.5463):0.6732);
(5:0.7103,(1:1.4686,(4:0.9523,(2:0.9189,3:1.0695):0.6820):0.9601):1.5082,(6:0.8563,(7:0.6954,8:0.7351):0.7985):1.6451);
((3:1.0408,7:0.9081):1.4015,(2:0.8568,5:0.9480):1.5533,((1:0.6642,4:0.5255):0.9497,(6:1.0517,8:0.8476):0.5060):1.7468);
((6:0.7478,(3:1.7323,(1:1.1702,4:0.8540):1.1327):0.9323):0.6452,(5:0.9640,7:0.7305):0.7911,(2:0.4811,8:2.1753):0.6433);
(3:1.1175,((1:1.1927,6:1.6203):0.5504,(7:0.5455,(2:0.5732,5:1.5435):0.8851):0.5850):1.2643,(4:1.0729,8:1.0421):1.0076);
((4:0.7680,6:0.8716):0.8621,(2:1.6344,5:0.8650):0.7481,(1:1.1868,(8:0.9216,(3:0.8988,7:0.7198):0.7423):1.1031):1.6784);
(8:0.6845,(1:1.1096,(5:0.7883,(3:1.4525,4:1.1105):0.6601):0.9211):0.6638,(6:0.9538,(2:1.1682,7:1.4052):1.1187):0.9638);
(8:1.9172,(3:0.8914,(1:0.9634,(2:0.8926,5:1.2924):1.2215):0.6736):0.9064,(6:0.7820,(4:0.6052,7:0.8113):1.1295):0.9134);
